"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
17.535307,23.436071,17.331387,17.660488,19.657684,29.559586,34.323006,26.731218,25.829046,40.610767,29.456915,32.139614,20.683699,18.508663,26.282337,8.605585,12.294169,20.272297,11.372725,19.466969,17.289873,6.012826,21.356195,6.32382,27.618477,36.325401,21.08177,15.460467,12.804574,12.281161,8.121542,43.679291
17.55471,23.556198,17.367153,17.712948,19.789314,29.49658,34.340603,26.800903,25.817907,40.726223,29.499039,32.149937,20.701445,18.532339,26.432751,8.712065,12.311743,20.312984,11.374839,19.539303,17.273876,6.032042,21.436352,6.318085,27.91765,36.496723,21.054518,15.529696,12.83575,12.309027,8.148172,43.618145
17.573572,23.675549,17.405827,17.771935,19.923294,29.433483,34.360336,26.874292,25.803358,40.833988,29.537188,32.161331,20.71929,18.554401,26.584023,8.819481,12.33099,20.352301,11.375853,19.596415,17.255661,6.053065,21.513176,6.312712,28.218695,36.66412,21.026384,15.602293,12.863553,12.335736,8.173602,43.552227
17.59226,23.793867,17.446646,17.837257,20.060509,29.370024,34.382542,26.951639,25.786228,40.93515,29.57086,32.173683,20.737297,18.574528,26.735441,8.927302,12.352569,20.390324,11.375562,19.637768,17.236048,6.075515,21.586258,6.307696,28.520784,36.827,20.997547,15.678264,12.887718,12.360804,8.197666,43.482029
17.611212,23.910894,17.488911,17.908628,20.201805,29.305943,34.407433,27.033224,25.767355,41.030766,29.599947,32.186859,20.755531,18.592432,26.886423,9.034963,12.377057,20.427099,11.373796,19.663145,17.215933,6.099,21.655293,6.303028,28.822979,36.984859,20.968187,15.757519,12.908048,12.383789,8.220244,43.408096
17.630888,24.026382,17.532038,17.985668,20.34791,29.240993,34.435032,27.119366,25.74754,41.121792,29.624701,32.200722,20.774061,18.607866,27.036545,9.141881,12.404939,20.462652,11.370427,19.672667,17.19622,6.123138,21.7201,6.2987,29.12425,37.137299,20.938473,15.839865,12.924406,12.404314,8.241253,43.331024
17.651731,24.140112,17.57559,18.067923,20.49935,29.174959,34.465134,27.210413,25.72756,41.209076,29.645674,32.215137,20.792982,18.620619,27.185528,9.247481,12.436577,20.496973,11.365386,19.666786,17.177736,6.147564,21.780621,6.294708,29.423544,37.284042,20.908552,15.925014,12.936708,12.422074,8.260635,43.251442
17.674112,24.251905,17.619278,18.154875,20.656366,29.107647,34.49728,27.306732,25.708151,41.293308,29.663626,32.229984,20.812418,18.630497,27.333227,9.351209,12.472206,20.530043,11.358677,19.646273,17.161171,6.171926,21.836914,6.291055,29.71982,37.424931,20.878532,16.012585,12.944906,12.436848,8.278357,43.169994
17.698265,24.361656,17.662924,18.245934,20.818857,29.038885,34.5308,27.408691,25.690018,41.375027,29.67943,32.245163,20.832546,18.637331,27.47962,9.452539,12.511934,20.561827,11.350387,19.612206,17.147047,6.19588,21.889156,6.28775,30.012125,37.559921,20.848486,16.102127,12.948984,12.448497,8.294392,43.087326
17.724245,24.469345,17.706409,18.340441,20.986343,28.968517,34.564877,27.516651,25.673805,41.454601,29.693977,32.260624,20.853596,18.640945,27.624792,9.550971,12.555744,20.592283,11.340692,19.565935,17.135715,6.219086,21.937616,6.284813,30.299658,37.68906,20.818457,16.193123,12.948951,12.456978,8.308727,43.004063
17.751898,24.575048,17.749615,18.437672,21.157978,28.896402,34.598656,27.630938,25.660078,41.532242,29.708097,32.276363,20.875843,18.641157,27.768929,9.646022,12.603507,20.621363,11.329855,19.509043,17.127357,6.241201,21.982645,6.282273,30.581829,37.812473,20.788462,16.285013,12.944844,12.462337,8.32136,42.920799
17.78088,24.678955,17.792377,18.536833,21.332617,28.822409,34.631332,27.751842,25.649296,41.608009,29.7225,32.292427,20.899607,18.637762,27.912323,9.737221,12.655005,20.648994,11.318222,19.443302,17.122013,6.261889,22.024641,6.280167,30.858322,37.930302,20.75852,16.377214,12.936731,12.464705,8.332298,42.838074
